TRAIN_LOSS,TEST_HR_ALL,TEST_HR_UNSEEN
285.5143,0.6711,0.4800
283.0899,0.6711,0.4700
280.6978,0.6722,0.4700
278.3371,0.6733,0.4700
276.0078,0.6733,0.4700
273.7089,0.6722,0.4700
271.4406,0.6722,0.4700
269.2020,0.6744,0.4700
266.9929,0.6744,0.4700
264.8134,0.6733,0.4700
262.6625,0.6733,0.4500
260.5407,0.6767,0.4500
258.4470,0.6756,0.4400
256.3816,0.6767,0.4400
254.3441,0.6789,0.4400
252.3344,0.6811,0.4400
250.3523,0.6822,0.4500
248.3978,0.6856,0.4600
246.4704,0.6867,0.4700
244.5701,0.6844,0.4800
242.6969,0.6844,0.4800
240.8501,0.6856,0.4800
239.0296,0.6856,0.4800
237.2363,0.6856,0.4800
235.4689,0.6844,0.4800
233.7277,0.6844,0.4800
232.0123,0.6844,0.4800
230.3231,0.6833,0.4800
228.6590,0.6833,0.4800
227.0209,0.6833,0.4800
225.4079,0.6833,0.4800
223.8202,0.6822,0.4800
222.2574,0.6822,0.4800
220.7194,0.6822,0.4700
219.2061,0.6789,0.4600
217.7170,0.6800,0.4600
216.2524,0.6811,0.4700
214.8116,0.6856,0.4700
213.3947,0.6844,0.4600
212.0013,0.6856,0.4600
210.6311,0.6867,0.4600
209.2844,0.6878,0.4600
207.9602,0.6867,0.4600
206.6592,0.6878,0.4600
205.3800,0.6878,0.4600
204.1233,0.6889,0.4600
202.8881,0.6922,0.4600
201.6744,0.6922,0.4600
200.4822,0.6922,0.4600
199.3106,0.6933,0.4600
198.1599,0.6933,0.4600
197.0297,0.6944,0.4600
195.9194,0.6956,0.4600
194.8289,0.6956,0.4700
193.7578,0.6944,0.4700
192.7059,0.6944,0.4700
191.6725,0.6922,0.4700
190.6577,0.6933,0.4700
189.6609,0.6933,0.4700
188.6820,0.6944,0.4700
187.7205,0.6944,0.4700
186.7760,0.6956,0.4700
185.8483,0.6944,0.4500
184.9372,0.6944,0.4500
184.0421,0.6956,0.4500
183.1629,0.6967,0.4500
182.2988,0.6967,0.4500
181.4501,0.6967,0.4500
180.6159,0.6967,0.4500
179.7964,0.6944,0.4500
178.9909,0.6944,0.4500
178.1994,0.6944,0.4500
177.4212,0.6956,0.4500
176.6564,0.6967,0.4500
175.9045,0.6956,0.4500
175.1651,0.6967,0.4500
174.4379,0.6967,0.4500
173.7228,0.6978,0.4500
173.0195,0.6978,0.4500
172.3275,0.6956,0.4500
171.6468,0.6956,0.4500
170.9771,0.6967,0.4600
170.3182,0.6967,0.4600
169.6696,0.6967,0.4500
169.0311,0.6978,0.4500
168.4026,0.6978,0.4500
167.7838,0.6967,0.4500
167.1744,0.6967,0.4500
166.5744,0.6967,0.4500
165.9834,0.6967,0.4500
165.4013,0.6967,0.4500
164.8278,0.6978,0.4600
164.2627,0.6978,0.4600
163.7058,0.6978,0.4600
163.1569,0.6989,0.4600
162.6161,0.6989,0.4600
162.0829,0.6989,0.4600
161.5571,0.6989,0.4600
161.0388,0.6989,0.4600
160.5277,0.6978,0.4600
160.0236,0.6978,0.4600
159.5265,0.6978,0.4600
159.0361,0.6978,0.4600
158.5524,0.6989,0.4600
158.0749,0.6978,0.4600
157.6040,0.6989,0.4600
157.1393,0.6989,0.4600
156.6806,0.6989,0.4600
156.2276,0.6989,0.4600
155.7808,0.7000,0.4700
155.3395,0.7000,0.4700
154.9039,0.7000,0.4700
154.4736,0.7000,0.4700
154.0490,0.7000,0.4700
153.6294,0.7000,0.4700
153.2151,0.7000,0.4700
152.8059,0.6989,0.4700
152.4016,0.6989,0.4700
152.0021,0.6989,0.4700
151.6075,0.6978,0.4600
151.2174,0.6978,0.4600
150.8320,0.6978,0.4600
150.4512,0.6956,0.4600
150.0749,0.6956,0.4600
149.7029,0.6967,0.4700
149.3350,0.6967,0.4700
148.9713,0.6978,0.4700
148.6118,0.6978,0.4700
148.2563,0.6978,0.4700
147.9046,0.6989,0.4700
147.5569,0.6978,0.4700
147.2131,0.6978,0.4700
146.8728,0.6989,0.4700
146.5364,0.7000,0.4700
146.2036,0.7000,0.4700
145.8741,0.7000,0.4700
145.5482,0.7011,0.4700
145.2256,0.7011,0.4700
144.9064,0.7011,0.4700
144.5906,0.7011,0.4700
144.2778,0.7011,0.4700
143.9682,0.7011,0.4700
143.6617,0.7011,0.4700
143.3582,0.7011,0.4700
143.0577,0.7022,0.4700
142.7601,0.7022,0.4700
142.4655,0.7033,0.4700
142.1734,0.7033,0.4700
141.8844,0.7022,0.4700
141.5978,0.7033,0.4700
141.3141,0.7033,0.4700
141.0329,0.7033,0.4700
140.7543,0.7033,0.4700
140.4782,0.7033,0.4700
140.2044,0.7033,0.4700
139.9332,0.7022,0.4700
139.6643,0.7022,0.4700
139.3979,0.7022,0.4700
139.1334,0.7022,0.4700
138.8714,0.7022,0.4700
138.6115,0.7033,0.4700
138.3537,0.7033,0.4700
138.0982,0.7033,0.4700
137.8446,0.7033,0.4700
137.5930,0.7044,0.4700
137.3436,0.7056,0.4700
137.0960,0.7056,0.4700
136.8504,0.7056,0.4700
136.6066,0.7056,0.4700
136.3647,0.7056,0.4700
136.1245,0.7056,0.4700
135.8861,0.7056,0.4700
135.6496,0.7056,0.4700
135.4147,0.7044,0.4700
135.1814,0.7044,0.4700
134.9500,0.7044,0.4700
134.7200,0.7044,0.4700
134.4916,0.7044,0.4700
134.2648,0.7056,0.4700
134.0393,0.7056,0.4700
133.8157,0.7056,0.4700
133.5934,0.7056,0.4700
133.3726,0.7044,0.4700
133.1530,0.7044,0.4700
132.9350,0.7044,0.4700
132.7184,0.7044,0.4700
132.5030,0.7056,0.4700
132.2889,0.7067,0.4700
132.0762,0.7067,0.4700
131.8647,0.7067,0.4700
131.6545,0.7056,0.4700
131.4455,0.7033,0.4700
131.2377,0.7033,0.4700
131.0311,0.7033,0.4700
130.8256,0.7033,0.4700
130.6212,0.7044,0.4700
130.4181,0.7044,0.4700
130.2159,0.7044,0.4700
130.0149,0.7044,0.4700
129.8150,0.7044,0.4700
129.6160,0.7044,0.4700
129.4182,0.7044,0.4700
129.2212,0.7044,0.4700
129.0253,0.7056,0.4700
128.8305,0.7056,0.4700
128.6364,0.7056,0.4700
128.4435,0.7056,0.4700
128.2513,0.7067,0.4700
128.0602,0.7067,0.4700
127.8698,0.7067,0.4700
127.6804,0.7067,0.4700
127.4917,0.7067,0.4700
127.3040,0.7078,0.4700
127.1172,0.7089,0.4700
126.9312,0.7089,0.4700
126.7458,0.7089,0.4700
126.5614,0.7100,0.4700
126.3777,0.7100,0.4700
126.1947,0.7100,0.4700
126.0126,0.7111,0.4700
125.8313,0.7111,0.4700
125.6506,0.7111,0.4700
125.4706,0.7111,0.4700
125.2914,0.7111,0.4800
